"Genome_copies_mean","OPG","dpi","weightloss","EH_ID"
1710110.56551553,55555.5555555556,5,9.8791162985,"LM0222"
1412.48880665902,49632.3529411765,9,1.1671529804,"LM0222"
5127.56652069717,5434.78260869565,4,6.8361817424,"LM0222"
141.037406269089,0,3,6.2942892872,"LM0222"
0,NA,2,0.6669445602,"LM0222"
0,NA,1,0.5418924552,"LM0222"
385.57681540241,0,10,0.5002084202,"LM0222"
1962.40160331641,0,9,-6.4158224795,"LM0223"
148.967507118431,0,0,0,"LM0223"
354.96373415222,NA,1,-3.2802701399,"LM0223"
1569180.56091598,59829.0598290598,6,-4.0520984081,"LM0223"
288587.941693933,9090.90909090909,4,-3.3285094067,"LM0223"
1986012.96683055,53846.1538461538,5,-3.2320308731,"LM0223"
853.742065524947,NA,2,-5.0168837434,"LM0223"
251868.664702113,109154.929577465,7,-5.6439942113,"LM0223"
2398.03297572743,0,3,1.3024602026,"LM0223"
2147.57284487181,5263.15789473684,8,-2.4602026049,"LM0223"
379.971430385213,8064.51612903226,10,-7.4770863483,"LM0223"
81752.051168256,13157.8947368421,8,-8.1728266528,"LM0224"
1624295.86578968,174418.604651163,6,5.8302967205,"LM0224"
1202.95167525315,4285.71428571429,10,-2.1863612702,"LM0224"
7117.88544642547,12437.8109452736,4,1.6137428423,"LM0224"
161.842448724845,NA,2,-3.695991671,"LM0224"
730631.346339013,85483.8709677419,7,-3.5398230088,"LM0224"
10034.405791858,6377.55102040816,9,-1.8219677251,"LM0224"
131.959299060417,0,0,0,"LM0224"
1332.06895338174,0,3,6.4549713691,"LM0224"
3220946.53606298,54487.1794871795,5,4.1644976575,"LM0224"
0,NA,1,-3.9042165539,"LM0224"
33.0704033638965,NA,1,1.0695187166,"LM0225"
962893.060351498,0,4,0.8556149733,"LM0225"
209.523035317338,NA,2,-2.1033868093,"LM0225"
2742.89314231972,0,9,-3.2798573975,"LM0225"
839341.829468491,93406.5934065934,6,1.6755793226,"LM0225"
7994849.93006083,64732.1428571428,5,3.743315508,"LM0225"
587217.249318447,180000,7,-1.8538324421,"LM0225"
6728.88422216568,0,10,-2.1033868093,"LM0225"
3968.68875911012,0,3,-7.6648841355,"LM0225"
0,0,0,0,"LM0225"
11461.4500465565,8333.33333333333,8,-3.5294117647,"LM0225"
92364.9283164612,13157.8947368421,8,-5.2770448549,"LM0226"
0,NA,1,-0.5277044855,"LM0226"
6925.99421855832,21084.3373493976,9,-4.0237467018,"LM0226"
347610.51634277,164948.453608247,7,-5.9366754617,"LM0226"
39378.6878053695,0,4,0.5277044855,"LM0226"
358.341804256518,NA,2,-3.4960422164,"LM0226"
31576.2091363192,0,3,-3.2981530343,"LM0226"
4720.71288244519,0,10,-4.1556728232,"LM0226"
1069854.14075,15151.5151515152,6,-4.1556728232,"LM0226"
0,0,0,0,"LM0226"
3010029.60835573,104166.666666667,5,5.4749340369,"LM0226"
